A&A,Astronomy And Astrophysics
RASA,Regional Aquifer Systems Analysis (program Of USGS)
RASS,Ratio Acoustic Sounding  System
RASSCF,Restricted Active Space SCF
RASSI,Restricted Active Space State Interaction
RAST,Radioallergosorbent Test (immunoassay)
RASW,Relativistic Augmented Spherical Wave Method
RATL,Risk Analysis Testing Laboratory
RATM,Renormalized Average T-matrix (for D.-of-states Calcns.)
RB,Renormalized Band (method In Electronic-structure Calcns.)
RBA,Refined Born Approximation (for Atom-mol. Collisions)
RBAO,Reaction-bonded Aluminum Oxide
RBC,Red Blood Cell
RBC,Rotating Biological Contactor
RBCA,Risk-based Corrective Action
RBCOD,Readily Biodegradable Chemical Oxygen Demand
RBCODUR,Readily Biodegradable Chemical Oxygen Demand Uptake Rate
RBE,Relative Biological Effectiveness
RBF,Radial Basis Function
RBF,Renal Blood Flow
RBL,Rat Basophilic Leukemia
RBM,Radial Breathing Mode
RBM,Random Bonding Model
RBM,Rigid Band Model
RBOT,Rotary Bomb Oxidn. Test
RBP,Retinol Binding Protein
RBR,Reductive Burning Recovery
RBS,Rutherford Backscattering
RBS,Rutherford Backscattering Spectrometry
RBS,Ribosome Binding Site
RBSC,Reaction-bonded Silicon Carbide
RBSN,Reaction-bonded Silicon Nitride
RC(XI),(fully) Correlated Relativistic Local-density
RCA,Ricinus Communis Agglutinin
RCA,Rolling-circle Amplification
RCC,Relativistic Coupled Cluster
RCC,Renal Cell Carcinoma
RCCSD,(partially) Restricted CCSD
RCCSD,(spin) Restricted CCSD
RCF,Refractory Ceramic Fibers
RCF,Relative Centrifugal Force
RCF,Rolling Contact Fatigue
RCHF,Relaxed-core Hartree-Fock (approxn. In Calcns. On Mol. K-shell Excitation Spectra)
RCI,Relativistic Configuration Interaction
RCI,Restricted Configuration Interaction
RCIOSA,Reactive Classical-infinite-order-sudden Approxn.
RCIS,Resource Center Information System
RCISD,Restricted CI (with) Single (and) Double (excitations)
RCLED,Resonant Cavity Light Emitting Diode
RCM,Radiative Convective Model (of Climate)
RCM,Ring-closing Metathesis
RCM,Rotated-coordinate Method
RCNDO,Rydberg CNDO
R-CNDO/1X,Relativistic Complete Neglect Of Differential Overlap (method)
RCNDO/S,Rydberg CNDO/screened
RCO,Regenerative Catalytic Oxidizer
RCP,Reciprocal Calcn. Procedure [of ACGIH]
RCP,Rapid Crack Propagation
RCP,Recursive Correlation Partitioning
RCR,Recrystallization Controlled Rolling
RCR,Replication-competent Retrovirus
RCR,Respiratory Control Ratio
RCRA,Resource Conservation And Recovery Act Of 1976
RCRIS,Resource Conservation And Recovery Information System
RCS,Reaction Control System
RCS,Recoupled Centrifugal Sudden (approxn.
RCSB,Research Collaboratory For Structural Bioinformatics
RCSF,Reference Configuration-state Function
RCSI,Random Cooperative Strain Interaction
RCT,Reference Control Technology
RCTM,Regional Chemical Transport Model
RD,Remedial Design
RD/RA,Remedial Design/Remedial Action
RDA,Recommended Daily Allowance
RDA,Regularized Discriminant Analysis
RDA,Representational Difference Analysis
RDC,Rotating Disk Contactor
RDE,Rotating Disk Electrode
RDEQ,Reduced Dimensionality Exact Quantum (method For Reactive Scattering)
RDF,Radial Distribution Function
RDF,Refuse Derived Fuel
RDF,Restricted Dirac-Fock (quantum Calcn. Method)
RDGTO,(back-)rotated Distributed Gaussian-type Orbital
RDH,Rapid Displacement Heating (pulping - For Paper)
RDI,Reference Daily Intake
RDNP,Reverse Differential Normal Pulse
RDO,Reduced Density Operator
RDPP,Reverse Differential-pulse Polarography
RDPV,Reverse Differential-pulse Voltammetry
RDQ,Reduced-dimensionality Quantum (calcn. Method)
RDS,Raman Difference Spectroscopy
RDS,Reflectance-difference Spectroscopy
RDS,Respiratory Distress Syndrome
RDW,Relativistic Distorted Wave
RDX,Royal Demolition Explosive
RE,Recoupled States (in Orbiting Resonances Calcns. In Atom-mol. Inelastic Scattering)
RE,Relativistic Eikonal
REA,Relaxed Eddy Accumulation
REA,Restriction Endonuclease Anal.
REA,Retrospective Exposure Assessment
REA,Reactive Arthritis
REACCS,Reaction Access System
REACH,Registration
READS,Restriction Enzyme Analysis Of Differentially-expressed Sequences
REAPDOR,Rotational-echo Adiabatic-passage Double-resonance
RECA,Regional Energy Convergence Approxn. (in Total Energies Calcns.)
RECLAIM,Regional Clean Air Incentives Market
RECP,Relativistic Effective-core Potential
RECP-CVC,Relativistic Effective-core Potential With Core-valence Correlation
RED,Radiation Enhanced Diffusion
REDOR,Rotational Echo Double Resonance
REE,Rare Earth Element(s)
REELM,Reflected Electron Energy Loss Microscopy
REELS,Reflection Electron Energy-loss Spectroscopy
REES,Red Edge Excitation Shift
REFET,Ref. Field Effect Transistor
REIMEP,Regulation European Interlab. Measurement Evaluation Program
REL,Recommended Exposure Limit(s)
RELAX,Refrigerator Enhanced Laser Analyzer For Xenon
RELMA,Remote Laser Microanalysis
REM,Reservoir Eutrophication Model
REM,Rapid Eye Movement
REM,Reflection Electron Microscopy
REMCO,ISO Council Committee On Reference Materials
REMOTS,Remote Ecological Monitoring Of The Seafloor
REMPI,Resonance-Enhanced Multiphoton Ionization (for Mass Spectrometry)
REMS,Reflection Mass Spectrometry
REMUS,Remote Environmental Monitoring Units
REO,Rare Earth Oxide
REOM,Reduced Equations Of Motion (method In Mol.-scattering Calcns.)
REOS,Remote Electro-Optical Sensor
REP,Radiological Emergency Planning
REP,Relativistic Effective Potential
REP,Rotating Electrode Process
REPA,Resource And Environmental Profile Analysis
REPE,Resonance Energy Per Pi Electron
REPELS,Reemitted Positron Energy Loss Spectroscopy
RER,Rough Endoplasmic Reticulum
RERS,Resonance-enhanced Raman Scattering
RESA,Ring Infected Erythrocyte Surface Antigen
RESAM,Regional Soil Acidification Model
RESIS,Receptor Site Interaction Simulation
RESOLVE,Research On Operations Limiting Visual Extinction
RESS,Rapid Expansion Of Supercritical Solution
RET,Resonance Energy Transfer
REV,Ray Eigenvector (a Wave Function)
REX,Reactive Extrusion
REX,Relativistically Parametrized Extended Hueckel
RF,Response Factor
RFA,RCRA Facility Assessment
RFA,Regulatory Flexibility Act
RFA,Regulatory Flexibility Analysis
RFA,Renormalized Free Atom (model
RFA,Retarding Field Analyzer
RFB,Recycle Fluidized-bed
RFBCM,Random-field Blume-capel Model (hamiltonian For Magnetic System)
RFC,Inhalation Reference Concentration
RFCC,Residue Fluid Catalytic Cracking
RFCCU,Residue Fluid Catalytic Cracking Unit
RFD,Reference Dose
RFDR,Radiofrequency-driven Dipolar Recoupling
RFE,Recursive Feature Elimination
RFE,Relative Fit Error
RFE,Relaxor Ferroelectrics
RFEC,Remote Field Eddy Current
RFETS,Rocky Flats Environmental Technology Site
RFG,Reformulated Gasoline
RFGD,Radio-frequency Glow Discharge
RFGE,Rotating-field Gel Electrophoresis
RFI,RCRA Facility Investigation
RFI,Radio Frequency Interference
RFIC,Radio Frequency Integrated Circuit
RFID,Radio-frequency Identification
RFIE,Reverse Flow Ion Exchange
RFL,Resorcinol-formaldehyde Latex [dip Coating]
RFLP,Restriction Fragment Length Polymorphism
RFM,Relativistic Mean Field
RFM,Rotating Magnetic Field
RFP,Reasonable Further Progress
RFPS,Radio-frequency Plasma Spraying
RFQ,Radio-frequency Quadrupole
RFT,Respirator Fit Test
RFWM,Resonant Four-wave Mixing
RGA,Residual Gas Analysis
RGB,Red Giant Branch (star)
RGC,Retinal Ganglion Cell
RGS,Regulator Of G-protein Signaling
RGTO,Rheotaxial Growth And Thermal Oxidation
R-GVB,Resonating-generalized Valence Bond (wave Function)
RH,Relative Humidity
RHB,Reheat Blow Molding
RHC,Rubber Hydrocarbon Content
RHDV,Rabbit Hemorrhagic Disease Virus
RHEED,Reflection High-energy Electron Diffraction
RHF,Restricted Hartree-Fock
RHF SP,Restricted Hartree Fock Spin Polarization
RHFO,Relativistic Hartree-Fock One-channel (for Scattering)
RHFR,Relativistic Hartree-Fock-Roothaan
RHFR,Restricted Hartree-Fock-Roothaan
RHFS,Relativistic Hartree-Fock-Slater
RHFS,Restricted Hartree-Fock-Slater
RHFT,Relativistic Hartree-Fock Two-channel (for Scattering)
RHIC,Relativistic Heavy-Ion Collider
RHO,Reduced Hamiltonian Orbital Method
RHPA,Reverse Hemolytic Plaque Assay
RHT,Restricted Hueckel Method
RI,Refractive Index
RI,Remedial Investigation
RI,Replication Index
RI/FS,Remedial Investigation/feasibility Study (Superfund)
RIA,Reactivity Initiated Accident
RIA,Regulatory Impact Analysis
RIA,Relative Ion Abundance
RIBE,Reactive Ion Beam Etching
RIC,Resource Conservation  And Recovery Act Docket Information Center
RICE,UK Regular Interlaboratory Counting Exchange (for Asbestos Analysis)
RICM,Reflection Interference Contrast Microscopy
RID,Recrystn. Induced Diffusion
RIDA,Reverse Isotope Dilution Analysis
RIDIRS,Resonant In-dip IR Spectroscopy
RIE,Reactive Ion Etching
RIFM,Research Institute For Fragrance Materials
RIFS,Reflectometric Interference Spectroscopy
RIFT,Resin Infusion Under Flexible Tooling [plastics Molding]
RIGS,Radioimmunoguided Surgery
RIHRA,Research To Improve Health Risk Assessments Program (US EPA)
RIKES,Raman-induced Kerr Effect Spectrometry
RILS,Regulatory Interpretation Letters
RIM,Reaction-injection Molding
RIMS,Resonance Ionization Mass Spectrometry
RINDO,Rydberg Intermediate Neglect Of Differential Overlap
RIOMETER,Relative Ionospheric Opacity Meter
RIOS,Reactive Infinite-order Sudden (at.-mol. Reactive Collisions)
RIOSA,Reactive Infinite-order Sudden Approxn.
RIOSA,Rotational Infinite Order Sudden Approxn.
RIP,RCRA Implementation Plan
RIP,Rapid Isothermal Processing
RIP,Ribosome-inactivating Protein
RIR,Relative Inhalation Risk
RIR,Reference-intensity Ratio
RIS,Radiation-induced Segregation
RIS,Resonance Ionization Spectrometry
RIS,Rotational Isomeric State
RISA,Radioimmunosorbent Assay
RISA,RDNA Internal Spacer Analysis
RISC,Reduced-instruction-set Computer
RISE,Radiative Inputs From Sun To Earth
RISM,Reference Interaction Site Model
RITD,Resonant Interband Tunneling Diode
RITE,Research Institute Of Innovative Technology For The Earth (Japan)
RITG,Radiatively Important Trace Gases
RITP,Recycling Isotachophoresis
RITS,Radiatively Important Trace Species
RITZ,Regulatory And Investigative Treatment Zone
RIXS,Resonant Inelastic X-ray Scattering
RKB,Restricted Kinetic Balance (method In Calcns. Of Wave Functions And Energies)
RKHS,Reproducing Kernel Hilbert Space
RKI,Rotary Kiln Incinerator
RKKR-GF,Relativistic Koringa-Kohn-Rostoker Green Function
RKKY,Ruderman-Kittel-Kasuya-Yoshida (indirect Electron Exchange Mechanism)
RKRVL,Rydberg-Klein-Rees-Vanderslice-Lakshman (for Potential Energy)
RLA,Resonant Laser Ablation
RLCA,Reaction-limited Cluster Aggregation
RLF,Radially Localized (wave) Function
RLM,Reflected Light Microscopy
RLM,Rotating Linear Model (for Effective Potential Surfaces In Coupled-channel Calcns. On Reactive Scattering)
RLMTO,Relativistic Linear Muffin-tin Orbital
RLP,Reactive Liquid Polymer
RLPPS,Reactive Low-pressure Plasma Spraying
RLS,Recursive Least Squares (algorithm)
RLS,Resonance Light Scattering
RLT,Riemann-Liouville Transform
RLV,Reusable Launch Vehicles (aeronautics)
RMA,Rocky Mountain Arsenal (Colorado)
RMAN,Recovered Materials Advisory Notice
RMAPS,Receptor Model Applied To Patterns In Space
RMBPT,Relativistic Many-body Perturbation Theory
RMC,Relativistic Multiconfiguration
RMC,Reverse Monte Carlo
RMCL,Recommended Maximum Contaminant Level
RMCSTEP,Repartitioned Multiconfigurational Spin-tensor Electron Propagator
RME,Reasonably Maximally Exposed
RME,Reduced Matrix Equations
RMF,Rotating Morse Function (in Potential-surface Calcn.)
RMLC,Recommended Maximum Contaminant Level
RMM,Relative Molecular Mass
RMO,Rotated Morse Oscillator (function For Potential Surface)
RMOS,Rotated Morse Oscillator Spline (function For Potential Surface Calcn.)
RMP,Risk Management Program
RMP,Radon Measurement Proficiency
RMP,Relativistic Model Potential
RMP,Resonant Model Potential
RMP,Restricted Moeller-Plesset
RMP2,Restricted Moeller-Plesset Second-order (perturbation Theory)
RMP4,Restricted Moeller-Plesset Fourth-order (perturbation Theory)
RMPM,Renormalized Multicenter Potential Model (for Scattering)
RMPP,Risk Management And Prevention Program
RMPROP,R-matrix Propagation
RMR,Resting Metabolic Rate
RMRCI,Relativistic MR-CI
RMS,Root Mean Square
RMSECV,Root-mean-square Error Of Cross-validation
RMSEP,Root-mean-square Error Of Prediction
RMT,Random Matrix Theory
RMTA,Rigid Muffin-tin Approxn.
RMTO,Relativistic Muffin-tin Orbital
RMW,Regulated Medical Waste
RNA,Ribonucleic Acid
RNA,Remediation By Natural Attenuation
RNAA,Radiochemical Neutron Activation Analysis
RNAI,RNA Interference
RNAP,RNA Polymerase
RNG,Renormalized Group Theory
RNN,Recurrent Neural Network
RNO,Reaction Natural Orbital
RNR,Ribonucleotide Reductase
RNRA,Resonant Nuclear Reaction Analysis
RNS,Reactive Nitrogen Species
RO,Reverse Osmosis
ROA,Raman Optical Activity
ROA,Relaxed Orbital Approximation
ROAVERRS,Research On Atmospheric Variability And Atmospheric Response In The Ross Sea
ROBK1,Relativistic First-order Oppenheimer-Brinkman-Kramers
ROBK2,Relativistic Second-order Oppenheimer-Brinkman-Kramers (in Ion-scattering Calcns.)
ROBO,Rotating Bond Order (model In Potential Surface Calcns.)
ROC,Receiver Operating Characteristics
ROC,Receptor-operated Ca2+ Channel
ROD,Record Of Decision
RODAC,Regional Ocean Dumping Advisory Committee
RODS,Records Of Decision System
RODTOX,Rapid Oxygen Demand And Toxicity Tester
ROESY,Rotating-frame Overhauser Enhancement Spectroscopy
ROFA,Rotating Over Fire Air (boiler Firing)
ROG,Reactive Organic Gas
ROHF,Restricted Open-shell Hartree-Fock
ROHS,Restrictions On Hazardous Substances
ROI,Reactive Oxygen Intermediate
ROIC,Readout Integrated Circuit
ROM,Reactive Oxygen Metabolite
ROM,Read Only Memory
ROM,Regional Oxidant Model
ROM,Reverse Osmosis Membrane
ROMNET,Regional Ozone Modeling For Northeast Transport
ROMP,Restricted Open-shell Moeller-Plesse
ROMP,Ring-opening Metathesis Polymerization
RON,Research Octane Number
RONALD,Rocketborne Optical Neutral Gas Analyzer With Laser Diodes
ROP,Ring-opening Polymerization
ROS,Reactive Oxygen Species
ROS,Restricted (or Roothaan) Open-shell (Hamiltonian)
ROSAT,Roentgen Satellite
ROSDAL,Representation Of Organic Structure Description Arranged Linearly
ROSE,Regional Oxidants In The SouthEast
ROSE,Research On Ozone In The Stratosphere And Its Evolution
ROSE,Residual Organic Substance Emissions
ROSE,Remote Optical Sensing Of Emissions
ROSE,Residual Oil Supercritical Extraction
ROSH,Registry Of Occupational Safety And Health
ROSINA,Rosetta Orbiter Spectrometer For Ion And Neutral Analysis
ROSS,River Oil Spill Simulation
ROSS2,River Oil Spill Simulation 2 Layer Model
ROV,Remotely Operated Vehicle
ROVP,Reactance Operator Variational Principle
ROWPU,Reverse Osmosis Water Purification Unit
RP,Reinforced Plastics
RP/C,Reinforced Plastics/composite
RP/M,Reinforced Plastics/mortar
RPA,RNase Protection Assay
RPA,Random Phase Approximation
RPAE,Random Phase Approximation With Exchange
RPC,Regional Planning Commission
RPC,Rotation Planar Chromatography
RPC,Reduced Potential Curve (method For Anal. Of Potential Functions And Spectra Of Diatomic Molecules)
RPC,Reversed-phase Chromatography
RPCR,Restricted Principal Component Regression
RPCVD,Remote Plasma-enhanced Chemical Vapor Deposition
RPD,Relative Percent Difference
RPD,Retarding Potential Difference
RPDWR,Revised Primary Drinking Water Regulations
RPE,Retinal Pigment Epithelium
RPECVD,Remote Plasma-enhanced Chemical-vapor Deposition
RPEHMO,Relativistically Parametrized Extended Hueckel MO
RPF,Renal Plasma Flow
RPI,Radius Polydispersity Index
RPIPC,Reversed-phase Ion-pair Chromatography
RPJ,Radio-frequency Plasma Jet
RPL,Radio Photoluminescence
RPLC,Reversed-phase Liquid Chromatography
RPM,Regional Project Managers
RPMI,Roswell Park Memorial Institute
RPO,Resonant Periodic Orbit (on Potential Energy Surface In At. Or Mol. Scattering)
RPP,Renal Perfusion Pressure
RPP,Reverse Pulse Polarography
RPS,Reemitted Positron Spectroscopy
RPSA,Rapid Pressure Swing Adsorption
RPTP,Receptor Protein Tyrosine Phosphatase
RPV,Raccoon Parvovirus
RPV,Reactor Pressure Vessel
RPWBA,Relativistic Plane-wave Born Approximation
RPWBA-BC,RPWBA With Corrections For Increased Binding Energy And Coulomb Deflection
RQ,Reportable Quantity
RQ,Respiratory Quotient
RQCAR,Reportable Quantities For Carcinogens In Hazardous Waste
RQCISD,(spin) Restricted QCISD
RQDO,Relativistic Quantum Defect Orbital (method In Calcns. Of Oscillator Strengths)
RQTOX,Reportable Quantities For Chronically Toxic Hazardous Substances
RR,Relative Risk
RR,Round Robin (test)
RRC,Regional Response Center
RRDE,Rotating Ring Disk Electrode
RREL,Risk Reduction Engineering Laboratory
RRG,Rift-related Granitoids
RRGM,Recursive Residue Generation Method
RRHO,Rigid Rotor-harmonic Oscillator (approxn.)
RRIM,Reinforced Reaction-injection Molding
RRM,RNA Recognition Motif
RRM,Rayleigh-Ritz Method (for Quantum Calculations)
RRNA,Ribosomal Ribonucleic Acid
RRPA,Relativistic Random Phase Approximation
RRPA,Renormalized Random-phase Approxn.
RRPT,Registered Radiation Protection Technologist
RRR,Residual Resistivity Ratio
RRS,Resonance Raman Spectroscopy
RRS,Resonance Rayleigh Scattering
RRT,Regional Response Team
RRT,Relative Retention Time
RS,Rayleigh Schroedinger (perturbation Theory)
RSA,Rat Serum Albumin
RSA,Reverse Saturable Absorption
RSAC,Remote Sensing Applications Center (US Forest Service)
RSC,Risk Specific Concentration
RSC,The Royal Society Of Chemistry
RSC,Relative Source Contribution
RSC,Residual Sodium Carbonate
RSCA,Relativistic Semiclassical Approximation (for At. Scattering)
RSCF,Relativistic Self-consistent Field
RSCPA,Reduced (second Order) Self-consistent Phonon Approxn. (a Green-function Calcn. Method)
RSD,Relative Standard Deviation
RSD,Risk-specific Dose
RSE,Relativistic Symmetric Eikonal
RSEW,Resistance Seam Welding
RSF,Radial Structure Function
RSF,Relative Sensitivity Factor
RSFQ,Rapid Single Flux Quantum
RS-HFPT,Rayleigh-Schroedinger Hartree-Fock Perturbation Theory
RSK,Rajagopal-Singhal-Kimball (local-spin-d. Potential For Electronic Structure Calcns.)
RSK,Ribosomal S6 Kinase
RSKERL,Robert S. Kerr Environmental Research Laboratory
RS-LMTO-ASA,Real Space-linear Combination Of Muffin-tin Orbitals-atomic Sphere Approxn.
RSM,Reactive Scavenging Module
RSM,Rapeseed Meal
RSM,Reduction Symmetry Method (in Crystal Field Theory)
RSM,Response Surface Method
RSMC,Regional Specialized Meteorological Centre
RSMP,Rayleigh-Schroedinger-Moeller-Plesset Perturbation
RSMR,Rayleigh Scattering Of Moessbauer Radiation
RSMST,Real-space Multiple-scattering Theory (in Electronic Structure)
RSNA,Renal Sympathetic Nerve Activity
RSP,Respirable Suspended Particulates
RSPA,Research And Special Programs Administration (Dept. Of Transportation)
RSPE,Rayleigh Schroedinger Perturbation Expansion
RSPT,Rayleigh-Schroedinger Perturbation Theory
RSR,Rapid Solidification Rate
RSRG,Real-space Renormalization Group (method In Calcn. Of Green Functions For Electrons In Crystals)
RSRM,Reusable Solid Rocket Motor
RSS,Recombination Signal Sequence
RSS,Residual Sum Of Squares
RSSC-CPA,Real-space-scattering Cluster Coherent Potential Approxn.
RSSCT,Rapid Small-scale Column Test (of Granulated Activated Carbon)
RSV,Rous Sarcoma Virus
RSV,Reduced Sp. Viscosity
RSV,Respiratory Syncytial Virus
RSW,Resistance Spot Welding
RT,Reverse Transcriptase
RTA,Rapid Thermal Annealing
RTCDW,Relativistic Target Continuum Distorted Wave (approxn. For Electron Capture In Ion-atom Collisions)
RTCVD,Rapid Thermal Chem. Vapor Deposition
RTD,Residence Time Distribution
RTD,Resonant Tunneling Diode
RTDF,Remediation Technologies Development Forum
RTDM,Rough Terrain Dispersion Model (air Quality)
RTE,Reversible Temper Embrittlement
RTECS,Registry Of Toxic Effects Of Chemical Substances (NLM)
RTF,Replenished Tapped And Fractionated (magma)
RTF,Room Temperature Fluorescence
RTFDW,Relativistic Thomas-Fermi-Dirac-Weizsaecker (electron-d. Theory)
RTG,Radioisotope Thermoelec. Generators
RTH,Resistance To Thyroid Hormone
RTIL,Room-temperature Ionic Liquid
RTK,Receptor Tyrosine Kinase
RTKNET,Right-to-Know Network
RTM,Resin-transfer Molding
RTMS,Room Temperature Molten Salt
RTMS,Repetitive Transcranial Magnetic Stimulation
RTNS,Rotating Target Neutron Source
RTO,Rapid Thermal Oxidation
RTO,Regenerative Thermal Oxidizer
RTP,Research Triangle Park
RTP,Rapid Thermal Processing
RTP,Reinforced Thermoplastic
RTP,Room Temperature Phosphorescence
RTPCR,Reverse Transcriptase Polymerase Chain Reaction
RT-PCR,Reverse Transcription-polymerase Chain Reaction
RTPM,Radical Triplet Pair Mechanism
RTPM,Real-time Polarization Modulation
RTRP,Reinforced Thermosetting Resin Pipe
RTT,Resonant Tunneling Transistor
RTU,Remote Terminal Unit
RTV,Room Temperature Vulcanization
RUDAD,RUmen-Derived Anaerobic Digester
RUP,Rumen-undegradable Protein
,
,
,
RUP,Restricted Use Pesticide
RUS,Resonant Ultrasound Spectroscopy
RUSLE,Revised Universal Soil Loss Equation (erosion Model)
RUSTIC,Risk Of Unsaturated/saturated Transport And Transformation Of Chemical Concentrations
RVAAP,Resource Values Affected By Air Pollution
RVB,Resonating Valence Bond (theory Of High-tc Superconductors)
RVC,Reticulated Vitreous Carbon (electrode)
RVCM,Renormalized Virtual-crystal Method (for Electronic Structure)
RVCM,Residual Vinyl Chloride Monomer
RVD,Regulatory Volume Decrease
RVDT,Rotary Variable Differential Transformer
RVLM,Rostral Ventrolateral Medulla
RVP,Reid Vapor Pressure (used For Gasoline Volatility)
RVR,Renal Vascular Resistance
RVS-SCF,Reduced Variational Space-self-consistent Field (in Quantum Calcns. On Hydrogen Bonding)
RW,Retonation Wave [backwardly Propagated Detonation Wave]
RWA,Rotating Wave Approximation
RWKB,Relativistic Wentzel-Kramers-Brillouin
RWMC,Radioactive Waste Management Complex (INEL)
RXES,Resonant X-ray Emission Spectra
RXF,Refracted X-ray Fluorescence
RXR,Retinoid X Receptor
RXTE,Rossi X-ray Timing Explorer
RYDMR,Reaction Yield Detected Magnetic Resonance
RZM,Root Zone Method (of Wastewater Treatment)
RZWQM,Root Zone Water Quality Model
S/MTD,STOL Maneuvering Technology Demonstrator (program)
SAA,Serum Amyloid A
SAACGS,State Ambient Air Concentration Guidelines Or Standards
SAAO,Symmetry-adapted Atomic Orbital
SAAP,Spin Adapted Antisymmetrized Product (in MC-SCF Theory)
SAB,Science Advisory Board (USEPA)
SAB,Substratum-aerated-biofilm Reactor
SABER,Sounding Of The Atmosphere Using Broadband Emission Radiometry
SABRE,Sweden And Britain Radar Experiment
SABS,South African Bureau Of Standards
SAC,Self-Aligned Contact
SAC,Spectral Absorption Coeff.
SAC,Symmetry-adapted Cluster (expansion Method For Calcg. Wave Functions)
SA-CAS-SCF,State-averaged-complete Active Space-SCF
SAC-CI,Symmetry-adapted Cluster Configuration Interaction (theory For Wave-function Expansion)
SACF,Symmetry-adapted Configuration Function
SACM,Superfund Accelerated Cleanup Model
SACM,Statistical Adiabatic Channel Method (in Ion-mol. Reactions)
SACRED,Silicon Array For ConveRsion Electron Detection
SAD,Selected Area Diffraction Patterns (crystal Chemistry)
SADP,Selected Area Diffraction Patterns
SADPT,Symmetry-adapted Double Perturbation Theory
SADT,Self Accelerating Decomposition Temperature
SADVR,Symmetry-adapted Discrete Variable Representation  (in Mol. Wave Function Calcn. For Nuclear Motion On A Given PES)
SAE,Society Of Automotive Engineers
SAED,Selected Area Electron Diffraction
SAES,State Agricultural Experiment Stations
SAES,Scanning Auger Electron Spectroscopy
SAEST,Society For Advancement Of Electrochemical Science And Technology
SAF,Symmetry Adapted Function (in CI Calcns.)
SAFARI,Southern African Regional Science Initiative
SAFETI,Software For The Assessment Of Fire
SAFIR,Single Aperture Far-Infrared Observatory
SAFIR,Smoke Gas Anal. By Fourier Transform IR Spectroscopy
SAFIRE,Spectroscopy Of The Atmosphere Using Far Infrared Emission
SAFM,Scanning Acoustic Force Microscopy
SAFM,Scanning Attractive Force Microscopy
SAFT,Spark Analysis For Traces
SAFT,Statistical Assocg. Fluid Theory
SAFT-VR,Statistical Assocg. Fluid Theory For Chain Mols. With Interaction Potentials Of Variable Range
SAGA,Soviet American Gas And Aerosol Experiment
SAGE,Soviet-American Gallium Experiment
SAGE,Stratospheric Aerosol And Gas Experiment
SAGE,Serial Analysis Of Gene Expression
SAGE II,Stratospheric Aerosol And Gas Expt. II
SAGFET,Self-aligned Gate Field Effect Transistor
SAI,Simplified Ab Initio Method
SAI,Spline-fitted Ab Initio (potential Energy Surface)
SAIC,Science Applications International Corporation
SAIM,Scaled Atoms-in-molecules
SAIS,Science And Applications Information System
SA-LCAO,Symmetry-adapted Linear Combination Of Atomic Orbitals
SALCCSD,Spin-adapted Linear Coupled-cluster (with) Single And Double Excitations)
SALD,Selective Area Laser Deposition
SALDI,Surface-assisted Laser Desorption/ionization
SALI,Secondary Atom Laser Ionization
SALQR,Successive Approximation Linear Quadratic Regulator (for Groundwater Management)
SALS,Small-angle Light Scattering
SALSA,Scoring Algorithm For Spectral Analysis
SAM,Scanning Auger Microscopy
SAM,Sterile Alpha Motif
SAM,Stratospheric Aerosol Monitor
SAM,Scanning Acoustic Microscopy
SAM,Self-assembled Monolayer
SAM1,Semi-ab Initio Model1
SAMA,Scientific Apparatus Makers Association
SAMBA,Satellite For Measurement Of Background Anisotropies
SA-MCSCF,State Averaged Multiconfiguration Self-consistent Field (wave Function) (see Also ICF-CI)
SAMHSA,Substance Abuse And Mental Health Services Administration
SAMI,Southern Appalachian Mountains Initiative
SAMMS,Self-assembled Monolayers On Mesoporous Supports
SAMO,Simulated Ab Initio Molecular Orbital
SAMOS,System For Automated Monitoring Of Org. Pollutants In Surface Water
SAMPE,Society For The Advancement Of Material And Process Engineering
SAMPEX,Solar Anomalous And Magnetospheric Particle Explorer (spacecraft)
SAMPL,Selective Amplification Of Microsatellite Polymorphic Loci
SAMS,Stratospheric And Mesospheric Sounder
SAMSON,Severe Accident Management System Online Network
SAN,Styrene-acrylonitrile Copolymer
SANDER,Simulated Annealing With NMR-derived Energy Restraints
SANDS,Stratospheric Aitken Nuclei Detection System
SANO,Symmetry-adapted Natural Orbital
SANS,Small-angle Neutron Scattering
SAP,Scientific Advisory Panel (FIFRA)
SAP,Sampling And Analysis Program
SAPHIR,Spectrometer Arrangement For Photon Induced Reactions
SAPK,Stress-activated Protein Kinase
SAPRC,Statewide Air Pollution Research Center
SAPS,Spherical Average Pseudopotential
SAPT,Symmetry-adapted Perturbation Theory
SAPW,Symmetrized Augmented Plane Wave
SAQM,SARMAP Air Quality Model
SAR,Structure-Activity Relationship
SAR,Synthetic Aperture Radar
SAR,Sequential Adiabatic Reduction
SAR,Simulated Acidic Rain
SAR,Sodium Absorption Ratio
SARA,Smad Anchor For Receptor Activation
SARA,Saturates
SARA,Superfund Amendments And Reauthorization Act Of 1986
SARAH,System For Advising On The Regulations For Assessing Hazards
SARIS,Scattering And Recoiling Imaging Spectrometry
SARM,Synthetic Analytical Reference Matrix (US EPA)
SARM,Selective Androgen Receptor Modulator
SAROAD,Storage And Retrieval Of Aerometric Data
SARP,Safety Analysis Report For Packaging
SARS,Scattering And Recoiling Spectrometry
SARS,Severe Acute Respiratory Syndrome
SART,Specific Alternation Of Rhythm In Temperature
SAS,Statistical Anal. System
SAS,Small Angle Scattering
SAS,Surface-active Substance
SASA,Solvent-accessible Surface Area
